"event","date","ip","entity"
"bot3","2015-09-01","229.177.230.144","229.177.230"
"bot3","2015-09-01","49.18.84.119","49.18.84"
"bot3","2015-09-01","74.17.175.24","74.17.175"
"bot2","2015-09-01","41.187.95.23","41.187.95"
"bot1","2015-09-01","55.111.209.92","55.111.209"
"bot2","2015-09-01","197.48.207.120","197.48.207"
"bot2","2015-09-01","195.151.147.212","195.151.147"
"bot2","2015-09-01","73.110.103.180","73.110.103"
"bot1","2015-09-01","225.147.195.173","225.147.195"
"bot3","2015-09-01","235.56.188.7","235.56.188"
"bot3","2015-09-01","220.112.45.230","220.112.45"
"bot2","2015-09-01","215.232.219.196","215.232.219"
"bot3","2015-09-01","10.74.46.46","10.74.46"
"bot3","2015-09-01","12.228.147.181","12.228.147"
"bot1","2015-09-01","91.179.96.144","91.179.96"
"bot3","2015-09-01","207.183.58.161","207.183.58"
"bot2","2015-09-01","168.175.174.139","168.175.174"
"bot2","2015-09-01","136.149.38.207","136.149.38"
"bot2","2015-09-01","191.234.168.49","191.234.168"
"bot3","2015-09-01","235.56.188.205","235.56.188"
"bot3","2015-09-01","48.1.96.23","48.1.96"
"bot1","2015-09-01","216.127.123.85","216.127.123"
"bot3","2015-09-01","177.121.181.108","177.121.181"
"bot2","2015-09-01","168.175.174.37","168.175.174"
"bot1","2015-09-01","185.129.214.178","185.129.214"
"bot1","2015-09-01","159.35.184.84","159.35.184"
"bot3","2015-09-01","1.106.159.156","1.106.159"
"bot2","2015-09-01","113.20.196.87","113.20.196"
"bot1","2015-09-01","119.36.98.177","119.36.98"
"bot2","2015-09-01","34.32.165.80","34.32.165"
"bot2","2015-09-01","195.151.147.156","195.151.147"
"bot3","2015-09-01","37.79.161.240","37.79.161"
"bot3","2015-09-01","235.56.188.4","235.56.188"
"bot1","2015-09-01","201.39.232.171","201.39.232"
"bot3","2015-09-01","95.99.193.65","95.99.193"
"bot3","2015-09-01","49.18.84.231","49.18.84"
"bot2","2015-09-01","185.55.189.108","185.55.189"
"bot1","2015-09-01","99.110.86.27","99.110.86"
"bot2","2015-09-01","220.93.158.133","220.93.158"
"bot1","2015-09-01","110.237.65.205","110.237.65"
"bot2","2015-09-01","75.167.167.6","75.167.167"
"bot2","2015-09-01","191.234.168.44","191.234.168"
"bot2","2015-09-01","32.188.144.173","32.188.144"
"bot1","2015-09-01","8.117.31.147","8.117.31"
"bot1","2015-09-01","33.90.179.168","33.90.179"
"bot3","2015-09-01","37.79.161.132","37.79.161"
"bot2","2015-09-01","70.100.111.73","70.100.111"
"bot2","2015-09-01","195.151.147.142","195.151.147"
"bot2","2015-09-01","97.138.121.22","97.138.121"
"bot3","2015-09-01","87.30.217.174","87.30.217"
"bot1","2015-09-01","70.209.211.185","70.209.211"
"bot2","2015-09-01","195.151.147.158","195.151.147"
"bot2","2015-09-01","152.135.228.7","152.135.228"
"bot3","2015-09-01","57.133.118.135","57.133.118"
"bot1","2015-09-01","60.181.143.250","60.181.143"
"bot3","2015-09-01","73.61.95.31","73.61.95"
"bot1","2015-09-01","119.36.98.101","119.36.98"
"bot3","2015-09-01","164.222.130.237","164.222.130"
"bot3","2015-09-01","165.161.218.183","165.161.218"
"bot1","2015-09-01","80.171.210.231","80.171.210"
"bot2","2015-09-01","34.32.165.37","34.32.165"
"bot3","2015-09-01","55.184.31.22","55.184.31"
"bot3","2015-09-01","10.74.46.139","10.74.46"
"bot2","2015-09-01","5.102.152.78","5.102.152"
"bot2","2015-09-01","163.115.148.53","163.115.148"
"bot2","2015-09-01","60.162.184.150","60.162.184"
"bot3","2015-09-01","36.208.167.136","36.208.167"
"bot3","2015-09-01","21.34.201.230","21.34.201"
"bot2","2015-09-01","220.93.158.92","220.93.158"
"bot3","2015-09-01","5.207.54.252","5.207.54"
"bot2","2015-09-01","220.93.158.71","220.93.158"
"bot3","2015-09-01","87.30.217.171","87.30.217"
"bot3","2015-09-01","58.137.8.220","58.137.8"
"bot3","2015-09-01","169.188.90.6","169.188.90"
"bot3","2015-09-01","37.79.161.74","37.79.161"
"bot2","2015-09-01","178.36.100.32","178.36.100"
"bot1","2015-09-01","160.158.235.23","160.158.235"
"bot2","2015-09-01","68.9.143.175","68.9.143"
"bot3","2015-09-01","122.157.75.23","122.157.75"
"bot3","2015-09-01","237.109.10.83","237.109.10"
"bot3","2015-09-01","174.231.122.238","174.231.122"
"bot2","2015-09-01","186.180.230.173","186.180.230"
"bot2","2015-09-01","197.48.207.59","197.48.207"
"bot2","2015-09-01","34.32.165.115","34.32.165"
"bot3","2015-09-01","204.57.124.250","204.57.124"
"bot1","2015-09-01","70.209.211.89","70.209.211"
"bot1","2015-09-01","30.93.46.177","30.93.46"
"bot1","2015-09-01","7.228.139.247","7.228.139"
"bot2","2015-09-01","164.146.166.218","164.146.166"
"bot2","2015-09-01","4.113.213.145","4.113.213"
"bot2","2015-09-01","46.12.73.93","46.12.73"
"bot2","2015-09-01","168.175.174.142","168.175.174"
"bot2","2015-09-01","202.166.199.125","202.166.199"
"bot1","2015-09-01","80.171.210.168","80.171.210"
"bot2","2015-09-01","53.119.17.237","53.119.17"
"bot2","2015-09-01","70.100.111.198","70.100.111"
"bot1","2015-09-01","97.166.8.106","97.166.8"
"bot3","2015-09-01","52.150.132.210","52.150.132"
"bot3","2015-09-01","48.1.96.39","48.1.96"
"bot3","2015-09-01","37.79.161.72","37.79.161"
"bot2","2015-09-01","70.100.111.42","70.100.111"
"bot2","2015-09-01","182.137.76.129","182.137.76"
"bot1","2015-09-01","206.125.115.227","206.125.115"
"bot3","2015-09-01","77.181.200.1","77.181.200"
"bot3","2015-09-01","198.143.182.205","198.143.182"
"bot1","2015-09-01","234.197.182.69","234.197.182"
"bot2","2015-09-01","163.115.148.188","163.115.148"
"bot2","2015-09-01","204.37.65.28","204.37.65"
"bot2","2015-09-01","118.44.131.92","118.44.131"
"bot1","2015-09-01","139.144.202.137","139.144.202"
"bot1","2015-09-01","211.123.227.133","211.123.227"
"bot2","2015-09-01","3.109.173.208","3.109.173"
"bot1","2015-09-01","70.209.211.77","70.209.211"
"bot3","2015-09-01","208.213.30.101","208.213.30"
"bot1","2015-09-01","27.140.221.68","27.140.221"
"bot2","2015-09-01","184.183.185.248","184.183.185"
"bot2","2015-09-01","109.203.11.120","109.203.11"
"bot1","2015-09-01","119.36.98.242","119.36.98"
"bot1","2015-09-01","217.154.75.7","217.154.75"
"bot2","2015-09-01","43.25.59.208","43.25.59"
"bot3","2015-09-01","158.123.53.253","158.123.53"
"bot1","2015-09-01","80.171.210.239","80.171.210"
"bot3","2015-09-01","85.82.222.240","85.82.222"
"bot3","2015-09-01","114.93.150.237","114.93.150"
"bot3","2015-09-01","235.56.188.98","235.56.188"
"bot2","2015-09-01","97.138.121.53","97.138.121"
"bot2","2015-09-01","214.90.117.179","214.90.117"
"bot1","2015-09-01","204.192.230.113","204.192.230"
"bot2","2015-09-01","28.235.231.134","28.235.231"
"bot1","2015-09-01","238.7.72.75","238.7.72"
"bot3","2015-09-01","202.19.42.106","202.19.42"
"bot3","2015-09-01","186.136.189.124","186.136.189"
"bot2","2015-09-01","190.223.233.162","190.223.233"
"bot3","2015-09-01","23.122.93.192","23.122.93"
"bot2","2015-09-01","127.182.5.39","127.182.5"
"bot2","2015-09-01","239.136.4.99","239.136.4"
"bot1","2015-09-01","216.127.123.193","216.127.123"
"bot1","2015-09-01","201.39.232.148","201.39.232"
"bot2","2015-09-01","4.113.213.235","4.113.213"
"bot3","2015-09-01","176.158.108.219","176.158.108"
"bot2","2015-09-01","61.224.135.180","61.224.135"
"bot3","2015-09-01","223.5.207.155","223.5.207"
"bot3","2015-09-01","206.125.206.240","206.125.206"
"bot3","2015-09-01","37.79.161.183","37.79.161"
"bot2","2015-09-01","9.24.126.23","9.24.126"
"bot2","2015-09-01","234.179.181.1","234.179.181"
"bot2","2015-09-01","62.130.110.218","62.130.110"
"bot1","2015-09-01","216.127.123.38","216.127.123"
"bot3","2015-09-01","87.30.217.1","87.30.217"
"bot1","2015-09-01","65.42.27.203","65.42.27"
"bot1","2015-09-01","204.192.230.185","204.192.230"
"bot3","2015-09-01","155.53.51.242","155.53.51"
"bot2","2015-09-01","183.221.114.215","183.221.114"
"bot1","2015-09-01","75.182.185.57","75.182.185"
"bot1","2015-09-01","60.181.143.142","60.181.143"
"bot2","2015-09-01","21.91.54.69","21.91.54"
"bot2","2015-09-01","152.135.228.131","152.135.228"
"bot3","2015-09-01","233.46.134.71","233.46.134"
"bot2","2015-09-01","152.135.228.1","152.135.228"
"bot3","2015-09-01","11.98.184.178","11.98.184"
"bot3","2015-09-01","201.105.213.149","201.105.213"
"bot3","2015-09-01","198.143.182.208","198.143.182"
"bot3","2015-09-01","87.30.217.31","87.30.217"
"bot3","2015-09-01","177.121.181.69","177.121.181"
"bot2","2015-09-01","34.32.165.199","34.32.165"
"bot2","2015-09-01","2.3.64.151","2.3.64"
"bot3","2015-09-01","169.188.90.58","169.188.90"
"bot1","2015-09-01","147.50.174.81","147.50.174"
"bot3","2015-09-01","87.30.217.82","87.30.217"
"bot2","2015-09-01","234.179.181.124","234.179.181"
"bot3","2015-09-01","36.208.167.159","36.208.167"
"bot1","2015-09-01","234.197.182.148","234.197.182"
"bot2","2015-09-01","162.64.58.149","162.64.58"
"bot2","2015-09-01","168.175.174.136","168.175.174"
"bot3","2015-09-01","150.166.98.187","150.166.98"
"bot2","2015-09-01","183.221.114.33","183.221.114"
"bot3","2015-09-01","21.34.201.171","21.34.201"
"bot1","2015-09-01","124.163.71.139","124.163.71"
"bot1","2015-09-01","204.192.230.5","204.192.230"
"bot2","2015-09-01","94.103.156.66","94.103.156"
"bot2","2015-09-01","157.220.177.2","157.220.177"
"bot3","2015-09-01","142.28.72.183","142.28.72"
"bot3","2015-09-01","150.166.98.6","150.166.98"
"bot2","2015-09-01","168.175.174.175","168.175.174"
"bot2","2015-09-01","229.68.154.182","229.68.154"
"bot1","2015-09-01","216.127.123.232","216.127.123"
"bot3","2015-09-01","21.34.201.206","21.34.201"
"bot2","2015-09-01","4.113.213.46","4.113.213"
"bot2","2015-09-01","5.102.152.112","5.102.152"
"bot1","2015-09-01","23.118.240.68","23.118.240"
"bot2","2015-09-01","234.179.181.62","234.179.181"
"bot2","2015-09-01","94.103.156.128","94.103.156"
"bot2","2015-09-01","146.157.224.27","146.157.224"
"bot1","2015-09-01","190.32.178.195","190.32.178"
"bot2","2015-09-01","168.175.174.222","168.175.174"
"bot2","2015-09-01","153.191.120.6","153.191.120"
"bot3","2015-09-01","232.92.162.103","232.92.162"
"bot2","2015-09-01","97.138.121.8","97.138.121"
"bot2","2015-09-01","148.140.18.79","148.140.18"
"bot3","2015-09-01","87.30.217.196","87.30.217"
"bot2","2015-09-01","53.119.17.78","53.119.17"
"bot3","2015-09-01","21.34.201.154","21.34.201"
"bot1","2015-09-01","69.231.225.150","69.231.225"
"bot3","2015-09-01","87.30.217.12","87.30.217"
"bot3","2015-09-01","87.30.217.21","87.30.217"
"bot1","2015-09-01","119.36.98.141","119.36.98"
"bot2","2015-09-01","64.165.107.227","64.165.107"
"bot1","2015-09-01","205.168.54.126","205.168.54"
"bot3","2015-09-01","127.8.236.56","127.8.236"
"bot2","2015-09-01","229.68.154.244","229.68.154"
"bot2","2015-09-01","56.173.128.53","56.173.128"
"bot3","2015-09-01","201.105.213.85","201.105.213"
"bot1","2015-09-01","60.181.143.98","60.181.143"
"bot1","2015-09-01","190.32.178.91","190.32.178"
"bot2","2015-09-01","32.188.144.151","32.188.144"
"bot1","2015-09-01","63.100.29.238","63.100.29"
"bot2","2015-09-02","73.110.103.180","73.110.103"
"bot3","2015-09-02","36.208.167.136","36.208.167"
"bot2","2015-09-02","4.113.213.235","4.113.213"
"bot1","2015-09-02","44.205.164.20","44.205.164"
"bot1","2015-09-02","30.93.46.220","30.93.46"
"bot1","2015-09-02","216.127.123.72","216.127.123"
"bot3","2015-09-02","232.92.162.103","232.92.162"
"bot2","2015-09-02","34.32.165.115","34.32.165"
"bot2","2015-09-02","184.183.185.141","184.183.185"
"bot2","2015-09-02","190.223.233.173","190.223.233"
"bot3","2015-09-02","155.53.51.242","155.53.51"
"bot3","2015-09-02","150.166.98.187","150.166.98"
"bot3","2015-09-02","29.52.194.190","29.52.194"
"bot2","2015-09-02","195.151.147.142","195.151.147"
"bot1","2015-09-02","216.127.123.38","216.127.123"
"bot3","2015-09-02","87.30.217.127","87.30.217"
"bot1","2015-09-02","173.167.137.44","173.167.137"
"bot3","2015-09-02","237.109.10.66","237.109.10"
"bot1","2015-09-02","98.83.169.20","98.83.169"
"bot3","2015-09-02","87.30.217.152","87.30.217"
"bot3","2015-09-02","73.61.95.254","73.61.95"
"bot3","2015-09-02","177.121.181.108","177.121.181"
"bot1","2015-09-02","119.36.98.177","119.36.98"
"bot2","2015-09-02","5.102.152.37","5.102.152"
"bot3","2015-09-02","198.143.182.190","198.143.182"
"bot2","2015-09-02","228.127.187.71","228.127.187"
"bot1","2015-09-02","80.171.210.65","80.171.210"
"bot1","2015-09-02","147.50.174.81","147.50.174"
"bot2","2015-09-02","195.151.147.125","195.151.147"
"bot3","2015-09-02","21.34.201.212","21.34.201"
"bot2","2015-09-02","191.234.168.49","191.234.168"
"bot3","2015-09-02","223.5.207.155","223.5.207"
"bot1","2015-09-02","23.118.240.68","23.118.240"
"bot2","2015-09-02","190.223.233.209","190.223.233"
"bot2","2015-09-02","34.32.165.199","34.32.165"
"bot2","2015-09-02","75.167.167.108","75.167.167"
"bot1","2015-09-02","117.216.22.113","117.216.22"
"bot2","2015-09-02","44.63.44.80","44.63.44"
"bot2","2015-09-02","197.48.207.59","197.48.207"
"bot1","2015-09-02","204.192.230.185","204.192.230"
"bot2","2015-09-02","152.135.228.7","152.135.228"
"bot3","2015-09-02","177.121.181.172","177.121.181"
"bot2","2015-09-02","229.68.154.182","229.68.154"
"bot2","2015-09-02","191.234.168.44","191.234.168"
"bot3","2015-09-02","21.34.201.193","21.34.201"
"bot2","2015-09-02","190.223.233.162","190.223.233"
"bot1","2015-09-02","93.80.124.195","93.80.124"
"bot1","2015-09-02","110.237.65.205","110.237.65"
"bot2","2015-09-02","43.25.59.210","43.25.59"
"bot3","2015-09-02","222.24.172.149","222.24.172"
"bot3","2015-09-02","158.123.53.253","158.123.53"
"bot2","2015-09-02","157.220.177.246","157.220.177"
"bot3","2015-09-02","1.106.159.186","1.106.159"
"bot2","2015-09-02","127.182.5.39","127.182.5"
"bot1","2015-09-02","119.36.98.101","119.36.98"
"bot3","2015-09-02","201.105.213.85","201.105.213"
"bot2","2015-09-02","190.223.233.6","190.223.233"
"bot3","2015-09-02","159.63.234.46","159.63.234"
"bot2","2015-09-02","60.162.184.150","60.162.184"
"bot2","2015-09-02","171.131.21.41","171.131.21"
"bot2","2015-09-02","64.165.107.227","64.165.107"
"bot2","2015-09-02","220.93.158.254","220.93.158"
"bot2","2015-09-02","147.145.169.52","147.145.169"
"bot1","2015-09-02","190.32.178.91","190.32.178"
"bot2","2015-09-02","162.64.58.119","162.64.58"
"bot1","2015-09-02","181.217.222.161","181.217.222"
"bot1","2015-09-02","70.209.211.105","70.209.211"
"bot3","2015-09-02","75.196.171.216","75.196.171"
"bot1","2015-09-02","94.81.64.173","94.81.64"
"bot1","2015-09-02","217.154.75.168","217.154.75"
"bot1","2015-09-02","201.39.232.33","201.39.232"
"bot2","2015-09-02","96.8.145.238","96.8.145"
"bot3","2015-09-02","198.143.182.172","198.143.182"
"bot2","2015-09-02","80.134.27.241","80.134.27"
"bot2","2015-09-02","2.3.64.109","2.3.64"
"bot2","2015-09-02","97.138.121.8","97.138.121"
"bot1","2015-09-02","80.171.210.231","80.171.210"
"bot1","2015-09-02","190.32.178.207","190.32.178"
"bot3","2015-09-02","177.121.181.96","177.121.181"
"bot2","2015-09-02","53.119.17.60","53.119.17"
"bot3","2015-09-02","207.183.58.161","207.183.58"
"bot2","2015-09-02","182.137.76.158","182.137.76"
"bot2","2015-09-02","157.220.177.2","157.220.177"
"bot3","2015-09-02","87.30.217.171","87.30.217"
"bot1","2015-09-02","75.182.185.57","75.182.185"
"bot1","2015-09-02","69.231.225.77","69.231.225"
"bot2","2015-09-02","215.232.219.196","215.232.219"
"bot2","2015-09-02","164.146.166.247","164.146.166"
"bot3","2015-09-02","87.30.217.51","87.30.217"
"bot3","2015-09-02","220.112.45.230","220.112.45"
"bot3","2015-09-02","235.56.188.100","235.56.188"
"bot3","2015-09-02","112.64.77.107","112.64.77"
"bot2","2015-09-02","62.130.110.218","62.130.110"
"bot2","2015-09-02","190.223.233.106","190.223.233"
"bot1","2015-09-02","187.234.60.31","187.234.60"
"bot1","2015-09-02","72.44.44.190","72.44.44"
"bot1","2015-09-02","235.109.9.162","235.109.9"
"bot2","2015-09-02","68.9.143.175","68.9.143"
"bot1","2015-09-02","147.50.174.240","147.50.174"
"bot3","2015-09-02","206.125.206.160","206.125.206"
"bot1","2015-09-02","185.129.214.178","185.129.214"
"bot3","2015-09-02","87.30.217.60","87.30.217"
"bot3","2015-09-02","125.40.139.198","125.40.139"
"bot1","2015-09-02","193.227.90.129","193.227.90"
"bot3","2015-09-02","87.30.217.21","87.30.217"
"bot2","2015-09-02","3.109.173.202","3.109.173"
"bot1","2015-09-02","27.140.221.68","27.140.221"
"bot2","2015-09-02","202.166.199.127","202.166.199"
"bot1","2015-09-02","34.126.117.15","34.126.117"
"bot1","2015-09-02","116.71.51.153","116.71.51"
"bot3","2015-09-02","120.221.40.182","120.221.40"
"bot2","2015-09-02","9.24.126.23","9.24.126"
"bot3","2015-09-02","81.180.101.190","81.180.101"
"bot2","2015-09-02","165.215.182.163","165.215.182"
"bot1","2015-09-02","69.231.225.150","69.231.225"
"bot2","2015-09-02","186.180.230.173","186.180.230"
"bot2","2015-09-02","168.175.174.175","168.175.174"
"bot3","2015-09-02","57.133.118.252","57.133.118"
"bot1","2015-09-02","216.127.123.193","216.127.123"
"bot1","2015-09-02","80.171.210.168","80.171.210"
"bot2","2015-09-02","163.115.148.53","163.115.148"
"bot1","2015-09-02","80.171.210.26","80.171.210"
"bot2","2015-09-02","195.151.147.132","195.151.147"
"bot2","2015-09-02","190.223.233.4","190.223.233"
"bot3","2015-09-02","1.106.159.156","1.106.159"
"bot3","2015-09-02","77.181.200.1","77.181.200"
"bot3","2015-09-02","38.76.24.112","38.76.24"
"bot1","2015-09-02","75.182.185.74","75.182.185"
"bot3","2015-09-02","165.161.218.141","165.161.218"
"bot1","2015-09-02","23.118.240.217","23.118.240"
"bot2","2015-09-02","186.180.230.177","186.180.230"
"bot3","2015-09-02","176.158.108.191","176.158.108"
"bot2","2015-09-02","70.100.111.42","70.100.111"
"bot2","2015-09-02","208.230.212.195","208.230.212"
"bot1","2015-09-02","159.35.184.237","159.35.184"
"bot2","2015-09-02","61.224.135.15","61.224.135"
"bot2","2015-09-02","168.175.174.139","168.175.174"
"bot1","2015-09-02","119.36.98.50","119.36.98"
"bot2","2015-09-02","53.119.17.222","53.119.17"
"bot1","2015-09-02","232.74.198.118","232.74.198"
"bot3","2015-09-02","37.79.161.72","37.79.161"
"bot2","2015-09-02","164.146.166.218","164.146.166"
"bot1","2015-09-02","190.32.178.195","190.32.178"
"bot2","2015-09-02","96.8.145.214","96.8.145"
"bot2","2015-09-02","195.151.147.212","195.151.147"
"bot2","2015-09-02","197.48.207.219","197.48.207"
"bot2","2015-09-02","195.151.147.191","195.151.147"
"bot3","2015-09-02","159.63.234.209","159.63.234"
"bot1","2015-09-02","33.90.179.168","33.90.179"
"bot2","2015-09-02","34.32.165.80","34.32.165"
"bot1","2015-09-02","63.100.29.238","63.100.29"
"bot3","2015-09-02","10.74.46.139","10.74.46"
"bot1","2015-09-02","198.128.62.139","198.128.62"
"bot2","2015-09-02","56.173.128.53","56.173.128"
"bot3","2015-09-02","206.125.206.63","206.125.206"
"bot3","2015-09-02","235.56.188.7","235.56.188"
"bot3","2015-09-02","202.19.42.106","202.19.42"
"bot1","2015-09-02","119.36.98.253","119.36.98"
"bot2","2015-09-02","220.93.158.88","220.93.158"
"bot2","2015-09-02","195.151.147.154","195.151.147"
"bot2","2015-09-02","94.103.156.66","94.103.156"
"bot2","2015-09-02","152.135.228.131","152.135.228"
"bot3","2015-09-02","186.136.189.124","186.136.189"
"bot3","2015-09-02","219.77.174.166","219.77.174"
"bot1","2015-09-02","199.49.116.215","199.49.116"
"bot3","2015-09-02","201.105.213.142","201.105.213"
"bot1","2015-09-02","225.147.195.88","225.147.195"
"bot1","2015-09-02","45.1.111.238","45.1.111"
"bot3","2015-09-02","52.150.132.224","52.150.132"
"bot1","2015-09-02","79.153.37.2","79.153.37"
"bot1","2015-09-02","204.192.230.5","204.192.230"
"bot1","2015-09-02","216.127.123.232","216.127.123"
"bot2","2015-09-02","203.22.193.62","203.22.193"
"bot2","2015-09-02","220.93.158.229","220.93.158"
"bot2","2015-09-02","47.94.149.71","47.94.149"
"bot3","2015-09-02","235.56.188.57","235.56.188"
"bot2","2015-09-02","195.151.147.156","195.151.147"
"bot3","2015-09-02","37.79.161.7","37.79.161"
"bot1","2015-09-02","226.226.147.220","226.226.147"
"bot2","2015-09-02","5.102.152.112","5.102.152"
"bot2","2015-09-02","109.203.11.190","109.203.11"
"bot3","2015-09-02","52.150.132.210","52.150.132"
"bot2","2015-09-02","168.175.174.204","168.175.174"
"bot2","2015-09-02","97.138.121.178","97.138.121"
"bot1","2015-09-02","70.209.211.5","70.209.211"
"bot2","2015-09-02","75.167.167.6","75.167.167"
"bot3","2015-09-02","49.18.84.215","49.18.84"
"bot3","2015-09-02","87.30.217.1","87.30.217"
"bot3","2015-09-02","237.109.10.145","237.109.10"
"bot1","2015-09-02","159.35.184.84","159.35.184"
"bot1","2015-09-02","34.126.117.181","34.126.117"
"bot2","2015-09-02","185.55.189.2","185.55.189"
"bot2","2015-09-02","146.157.224.27","146.157.224"
"bot2","2015-09-02","153.191.120.10","153.191.120"
"bot1","2015-09-02","75.182.185.3","75.182.185"
"bot1","2015-09-02","204.192.230.149","204.192.230"
"bot2","2015-09-02","157.220.177.26","157.220.177"
"bot3","2015-09-02","169.188.90.58","169.188.90"
"bot3","2015-09-02","206.125.206.240","206.125.206"
"bot2","2015-09-02","61.224.135.3","61.224.135"
"bot3","2015-09-02","23.122.93.192","23.122.93"
"bot2","2015-09-02","44.63.44.21","44.63.44"
"bot2","2015-09-02","53.119.17.78","53.119.17"
"bot2","2015-09-02","11.106.200.92","11.106.200"
"bot1","2015-09-02","206.125.115.227","206.125.115"
"bot3","2015-09-02","235.56.188.98","235.56.188"
"bot1","2015-09-02","70.209.211.97","70.209.211"
"bot1","2015-09-02","34.126.117.89","34.126.117"
"bot3","2015-09-02","196.115.168.107","196.115.168"
"bot3","2015-09-02","233.46.134.89","233.46.134"
"bot1","2015-09-02","70.209.211.185","70.209.211"
"bot2","2015-09-02","41.187.95.134","41.187.95"
"bot1","2015-09-02","94.81.64.168","94.81.64"
"bot3","2015-09-02","87.30.217.82","87.30.217"
"bot2","2015-09-02","34.32.165.122","34.32.165"
"bot2","2015-09-02","164.146.166.182","164.146.166"
"bot2","2015-09-02","147.145.169.172","147.145.169"
"bot3","2015-09-02","185.197.68.139","185.197.68"
"bot1","2015-09-02","91.179.96.144","91.179.96"
"bot2","2015-09-02","97.138.121.139","97.138.121"
"bot1","2015-09-02","160.158.235.23","160.158.235"
"bot1","2015-09-02","93.80.124.29","93.80.124"
"bot2","2015-09-02","186.180.230.68","186.180.230"
"bot3","2015-09-02","237.109.10.83","237.109.10"
"bot3","2015-09-02","11.98.184.178","11.98.184"
"bot3","2015-09-02","87.30.217.12","87.30.217"
"bot2","2015-09-02","3.109.173.243","3.109.173"
"bot3","2015-09-02","95.99.193.65","95.99.193"
"bot3","2015-09-02","122.157.75.23","122.157.75"
"bot1","2015-09-02","147.50.174.75","147.50.174"
"bot1","2015-09-02","23.118.240.23","23.118.240"
"bot1","2015-09-02","80.171.210.187","80.171.210"
